full_text,sentiment,clean_text
@telkomsel sudah saya dm -vape,netral,
@seeshawty @telkomindonesia @seeshawty kak rin untuk panggilannya pastikan benar dari call center 188. boleh infokan nomor hp dan capture log panggilan agar dibantu cek status nomornya. serta pastikan tidak memberikan data yang bersifat privasi. makasih. -dhet,netral,rin panggilannya pastikan call center infokan capture log panggilan status nomornya pastikan data bersifat privasi
@telkomsel @miftahken banyak nih https://t.co/nejcfawf7v,positif,
cukup dengan rp79.000 kamu bisa marathon series keren kayak house of the dragon dune: prophecy friends game of thrones house &amp; the big bang theory! aktifkan di https://t.co/rnf3drrevv termasuk kuota nonton 5gb! info: https://t.co/vpkdlopxyp #nontonmaxditelkomsel https://t.co/evrmmajby9,positif,marathon series keren kayak house of the dragon dune prophecy friend game of throne house amp the big bang theory aktifkan kuota nonton info
@telkomsel kenapa ya pulsa selalu berkurang dan ada notif sedang menggunakan jaringan tanpa kuota? padahal sudah di non-aktifkan paket datanya menggunakan simcard 2,negatif,pulsa berkurang notif jaringan kuota non paket datanya simcard
@telkomsel halo dm saya soal voucher hasil penukaran 500poin tp ga bs di pake voucher ny ga ada kabar ny lg nih..,negatif,voucher hasil penukaran poin tp b voucher ny kabar ny lg
ini apaansih telkomsel sinyalnya lg jelek bgt,negatif,apaansih sinyalnya lg jelek
@ululnf29 maaf ya kak nurul :( untuk jumlah poin yg dibutuhkan akan disesuaikan dengan pilihan rewardnya. kakak bisa kumpulin poin dengan beli paket dan penggunaan pulsa setiap kelipatan rp100 akan mendapatkan 1 poin ya kak. makasih :) -nesya,netral,nurul poin dibutuhkan disesuaikan pilihan rewardnya kumpulin poin beli paket penggunaan pulsa kelipatan poin
@arxmichie @michiban_ @michie_jkt48 @telkomsel langsung beli,netral,langsung beli
@babytz6 @babytz6 kak anya maaf ya kalo aplikasinya masih berkendala :( langsung aja infoin nomor hp tanggal waktu kejadian tipe hp dan capture kendalanya ke dm biar dibantu cek serta privasi terjaga. thanks -sakia,negatif,anya aplikasinya langsung tanggal kejadian tipe capture kendalanya privasi terjaga
@telkomsel @telkomindonesia nomor penelpon gak terlihat di telfon kantor tp sepertinya bukan dari 188. tp apakah telkomsel jika pemblokiran nomor akan bertanya nama dan nik org yg menjawab telfon?,netral,penelpon telfon kantor tp tp pemblokiran nama nik org telfon
@zeashitpost wah makasih udah rekomendasiin telkomsel sehat selalu kak zea -indah,positif,rekomendasiin sehat zea
@stryfslrmdhn @ronigermanotta @stryfslrmdhn okee meluncur dm kak segera dibalas yuk cek cek. -chika,netral,okee meluncur dibalas
@ronigermanotta @stryfslrmdhn @ronigermanotta pasti diperbaiki kok kak kalo kakak melanjutkan interaksinya lewat dm yuk bales temen micha. makasih ️ -micha,negatif,diperbaiki melanjutkan interaksinya bale temen micha
@seeshawty @telkomindonesia @seeshawty halo maaf kak. apa ada nomor penelponnya? kalo nomor penelpon bukan dari nomor resmi kami di 188 panggilannya bisa diabaikan aja karena khawatir indikasi penipuan dan cek masa aktif berkala di mytelkomsel :) -joan,negatif,penelponnya penelpon resmi panggilannya diabaikan khawatir indikasi penipuan aktif berkala mytelkomsel
maulana benci telkomsel was right,negatif,maulana benci wa right
@telkomsel @ronigermanotta sudah di dm ka tlong di baca,netral,ka tlong baca
@telkomsel min msh error apks nya tuh udh clear chace udh unins trus instal ulang sama az,negatif,msh error apks udh clear chace udh unins trus instal ulang az
@nerdygemm gapapa kay masih ditungguin kok sama januari,netral,gapapa kay ditungguin januari
@pirapattch belum bisa kak. untuk paket akan langsung aktif saat berhasil aktivasi paket ya kak. kakak dapat reservasi jadwal paket roamingnya di aplikasi mytelkomsel. makasih -emmy,negatif,paket langsung aktif berhasil aktivasi paket reservasi jadwal paket roamingnya aplikasi mytelkomsel
@sierravictor75_ @telkomsel siap kak sierra segera di balas dm nya. -ardhiy,netral,sierra balas
@telkomsel @stryfslrmdhn ah anying kebanyakan minta maaf. di perbaiki ngga juga,negatif,ah anying kebanyakan perbaiki ngga
@smolfou @smolfou mohon dilanjutkan interaksinya ya kak ️ -micha,netral,dilanjutkan interaksinya
